Best solution in generation 0 is: x = [9, 9, 4, 10, 9, 2, 5, 9, 8, 2, 2, 9, 7, 11, 5, 3, 8, 10, 4, 11, 5, 10, 2, 9, 5, 6, 3, 3, 8, 3, 8, 7, 9, 6, 4, 10, 11, 8, 10, 5, 5, 5, 4, 10, 1, 4, 4, 4, 10, 3, 7, 2, 10, 1, 9, 5, 4, 7, 10, 10, 7, 3, 11, 2, 6, 3, 11, 3, 2, 7, 3, 3, 10, 3, 9, 9, 3, 11, 7, 1, 8, 1, 1, 1, 7, 7, 1, 10, 3, 6, 10, 6, 3, 8, 2, 4, 8, 11, 10, 1, 10, 11, 11, 8, 11, 6, 3, 4, 10, 1, 8, 11, 11, 6, 5] f(x) = 0.03454582469549111
Best solution in generation 1 is: x = [9, 10, 1, 11, 10, 3, 8, 4, 5, 4, 3, 5, 1, 5, 6, 3, 2, 6, 4, 10, 5, 10, 1, 7, 11, 6, 9, 7, 7, 8, 6, 9, 11, 10, 5, 3, 7, 10, 9, 6, 1, 9, 4, 1, 3, 2, 10, 8, 1, 10, 10, 3, 11, 10, 3, 6, 1, 1, 6, 9, 2, 2, 11, 7, 4, 2, 7, 10, 7, 2, 7, 10, 11, 10, 3, 6, 9, 10, 7, 9, 3, 3, 6, 1, 3, 2, 3, 11, 4, 4, 4, 4, 9, 3, 2, 2, 8, 1, 9, 5, 8, 9, 3, 9, 11, 11, 2, 3, 9, 4, 10, 3, 8, 9, 4] f(x) = 0.04108308561909043
Best solution in generation 2 is: x = [9, 10, 1, 11, 10, 3, 8, 4, 5, 4, 3, 5, 1, 5, 6, 3, 2, 6, 4, 10, 5, 10, 1, 7, 11, 6, 9, 7, 7, 8, 6, 9, 11, 10, 5, 3, 7, 10, 9, 6, 1, 9, 4, 1, 3, 2, 10, 8, 1, 10, 10, 3, 11, 10, 3, 6, 1, 1, 6, 9, 2, 2, 11, 7, 4, 2, 7, 10, 7, 2, 7, 10, 11, 10, 3, 6, 9, 10, 7, 9, 3, 3, 6, 1, 3, 2, 3, 11, 4, 4, 4, 4, 9, 3, 2, 2, 8, 1, 9, 5, 8, 9, 3, 9, 11, 11, 2, 3, 9, 4, 10, 3, 8, 9, 4] f(x) = 0.04108308561909043
Best solution in generation 3 is: x = [9, 10, 1, 11, 10, 3, 8, 4, 5, 4, 3, 5, 1, 5, 6, 3, 2, 6, 4, 10, 5, 10, 1, 7, 11, 6, 9, 7, 7, 8, 6, 9, 11, 10, 5, 3, 7, 10, 9, 6, 1, 9, 4, 1, 3, 2, 10, 8, 1, 10, 10, 3, 11, 10, 3, 6, 1, 1, 6, 9, 2, 4, 11, 7, 4, 2, 7, 10, 7, 2, 7, 10, 11, 10, 3, 6, 9, 10, 7, 9, 3, 3, 6, 1, 3, 2, 3, 11, 4, 4, 4, 4, 9, 3, 2, 2, 8, 3, 5, 9, 8, 9, 3, 9, 11, 11, 2, 3, 9, 4, 10, 3, 8, 9, 4] f(x) = 0.04344224776391879
Best solution in generation 4 is: x = [9, 10, 1, 11, 10, 3, 8, 4, 5, 4, 3, 5, 1, 5, 6, 3, 2, 6, 4, 10, 5, 10, 1, 7, 11, 6, 9, 7, 7, 8, 6, 9, 11, 10, 5, 3, 7, 10, 9, 6, 1, 9, 4, 1, 3, 2, 10, 8, 1, 10, 10, 3, 11, 10, 3, 6, 1, 1, 6, 9, 2, 4, 11, 7, 4, 2, 7, 10, 7, 2, 7, 10, 11, 10, 3, 6, 9, 10, 7, 9, 3, 3, 6, 1, 3, 2, 3, 11, 4, 4, 4, 4, 9, 3, 2, 2, 8, 3, 5, 9, 8, 9, 3, 9, 11, 11, 2, 3, 9, 4, 10, 3, 8, 9, 4] f(x) = 0.04344224776391879
Best solution in generation 5 is: x = [9, 10, 1, 11, 10, 3, 8, 4, 5, 4, 3, 5, 1, 5, 6, 3, 2, 6, 4, 10, 5, 10, 1, 7, 11, 6, 9, 7, 7, 8, 6, 9, 11, 10, 5, 3, 7, 10, 9, 6, 1, 9, 4, 1, 3, 2, 10, 8, 1, 10, 10, 3, 11, 10, 3, 6, 1, 1, 6, 9, 2, 4, 11, 7, 4, 2, 7, 10, 7, 2, 7, 10, 11, 10, 3, 6, 9, 10, 7, 9, 3, 3, 6, 1, 3, 2, 3, 11, 4, 4, 4, 4, 9, 3, 2, 2, 8, 3, 5, 9, 8, 9, 3, 9, 11, 11, 2, 3, 9, 4, 10, 3, 8, 9, 4] f(x) = 0.04344224776391879
Best solution in generation 6 is: x = [9, 10, 1, 11, 10, 3, 8, 4, 5, 4, 3, 9, 7, 11, 6, 3, 2, 6, 4, 10, 5, 10, 1, 7, 11, 6, 9, 7, 7, 8, 6, 9, 11, 10, 5, 3, 7, 10, 9, 6, 1, 9, 4, 1, 3, 2, 10, 8, 1, 10, 10, 3, 11, 10, 3, 6, 1, 1, 6, 9, 2, 4, 11, 7, 4, 2, 7, 10, 7, 2, 7, 10, 11, 10, 3, 6, 9, 10, 7, 9, 3, 3, 6, 1, 3, 2, 3, 11, 4, 4, 4, 4, 9, 3, 2, 2, 8, 3, 11, 9, 8, 9, 3, 9, 11, 11, 2, 3, 9, 4, 10, 3, 8, 9, 4] f(x) = 0.04479680335525284
Best solution in generation 7 is: x = [9, 10, 1, 11, 10, 3, 8, 4, 5, 4, 3, 9, 7, 11, 6, 3, 2, 6, 4, 10, 5, 10, 1, 7, 11, 6, 9, 7, 7, 8, 6, 9, 11, 10, 5, 3, 7, 10, 9, 6, 1, 9, 4, 1, 3, 2, 10, 8, 1, 10, 10, 3, 11, 10, 3, 6, 1, 1, 6, 9, 2, 4, 11, 7, 4, 2, 7, 10, 7, 2, 7, 10, 11, 10, 3, 6, 9, 10, 7, 9, 3, 3, 6, 1, 3, 2, 3, 11, 4, 4, 4, 4, 9, 3, 2, 2, 8, 3, 11, 9, 8, 9, 3, 9, 11, 11, 2, 3, 9, 4, 10, 3, 8, 9, 4] f(x) = 0.04479680335525284
Best solution in generation 8 is: x = [9, 9, 4, 11, 10, 3, 8, 4, 5, 4, 3, 9, 7, 11, 6, 3, 2, 6, 4, 10, 5, 10, 1, 7, 11, 6, 9, 7, 7, 8, 6, 9, 11, 10, 5, 3, 7, 10, 9, 6, 1, 9, 4, 1, 3, 2, 10, 8, 1, 10, 10, 3, 11, 10, 3, 6, 1, 1, 6, 9, 2, 4, 11, 7, 4, 2, 7, 10, 7, 2, 7, 10, 11, 10, 3, 6, 9, 10, 7, 9, 3, 3, 6, 1, 3, 2, 3, 11, 4, 4, 4, 4, 9, 3, 2, 2, 8, 3, 11, 9, 8, 9, 3, 9, 11, 8, 2, 3, 9, 4, 10, 3, 8, 9, 4] f(x) = 0.046046241174764274
Best solution in generation 9 is: x = [9, 10, 1, 11, 10, 3, 8, 4, 5, 4, 3, 5, 1, 5, 6, 3, 2, 6, 4, 10, 5, 10, 1, 7, 11, 6, 9, 7, 7, 8, 6, 9, 11, 10, 5, 3, 7, 10, 9, 6, 1, 9, 4, 1, 3, 2, 10, 8, 1, 10, 10, 3, 11, 10, 3, 6, 1, 1, 6, 9, 2, 4, 11, 7, 4, 2, 7, 10, 7, 2, 7, 10, 11, 10, 3, 6, 9, 10, 7, 2, 3, 3, 6, 1, 3, 2, 3, 11, 4, 4, 4, 4, 11, 3, 2, 2, 8, 3, 3, 9, 8, 9, 3, 9, 11, 11, 2, 3, 9, 4, 10, 3, 8, 9, 4] f(x) = 0.0483601627595677
