Best solution in generation 0 is: x = [9, 10, 5, 1, 2, 10, 10, 8, 5, 9, 4, 11, 2, 7, 5, 8, 5, 7, 4, 4, 7, 11, 2, 3, 1, 11, 5, 2, 4, 7, 3, 6, 6, 3, 5, 10, 2, 1, 4, 6, 2, 5, 1, 4, 7, 6, 2, 11, 1, 1, 3, 9, 5, 3, 3, 4, 8, 4, 7, 9, 8, 11, 1, 9, 9, 3, 9, 1, 6, 2, 11, 5, 1, 6, 1, 3, 1, 3, 6, 3, 7, 5, 1, 4, 3, 1, 10, 3, 7, 8, 10, 3, 8, 2, 8, 7, 6, 9, 1, 11, 6, 3, 5, 7, 7] f(x) = 0.03828266000277679
Best solution in generation 1 is: x = [9, 10, 5, 4, 2, 10, 10, 8, 5, 9, 4, 11, 2, 7, 5, 8, 5, 7, 4, 4, 7, 11, 2, 3, 1, 11, 5, 2, 4, 7, 3, 6, 6, 3, 5, 10, 2, 1, 4, 6, 2, 5, 1, 4, 7, 6, 2, 1, 3, 2, 3, 9, 5, 3, 3, 4, 8, 4, 7, 9, 8, 11, 1, 9, 9, 3, 9, 1, 6, 2, 11, 5, 1, 6, 1, 3, 1, 3, 6, 3, 7, 5, 1, 4, 3, 1, 10, 3, 7, 8, 10, 3, 8, 2, 8, 7, 6, 9, 1, 11, 6, 3, 5, 7, 7] f(x) = 0.04106185180043316
Best solution in generation 2 is: x = [9, 10, 5, 1, 2, 10, 10, 8, 5, 9, 4, 11, 2, 7, 5, 8, 5, 7, 4, 4, 7, 11, 2, 3, 1, 11, 5, 2, 4, 7, 3, 6, 6, 3, 6, 10, 2, 1, 4, 6, 2, 5, 1, 4, 7, 6, 2, 11, 1, 1, 3, 9, 5, 3, 3, 4, 8, 4, 10, 7, 4, 11, 1, 9, 9, 3, 9, 9, 3, 2, 11, 5, 1, 6, 1, 3, 1, 3, 6, 3, 7, 5, 1, 4, 3, 1, 10, 3, 7, 8, 10, 3, 8, 2, 8, 7, 6, 9, 1, 11, 6, 3, 5, 7, 7] f(x) = 0.04216735825093476
Best solution in generation 3 is: x = [9, 10, 5, 1, 2, 10, 10, 8, 5, 9, 4, 11, 2, 7, 5, 8, 5, 7, 4, 4, 7, 11, 2, 3, 1, 11, 5, 2, 4, 7, 3, 6, 6, 3, 5, 10, 2, 1, 4, 6, 2, 5, 1, 4, 7, 8, 3, 3, 1, 1, 3, 9, 5, 3, 3, 4, 8, 4, 7, 9, 8, 11, 1, 9, 9, 3, 9, 1, 6, 2, 11, 5, 1, 6, 1, 3, 1, 3, 6, 3, 7, 5, 1, 4, 3, 1, 10, 3, 7, 8, 10, 3, 8, 2, 8, 7, 6, 9, 1, 9, 6, 3, 5, 7, 7] f(x) = 0.04374848956967541
Best solution in generation 4 is: x = [9, 10, 5, 4, 2, 10, 10, 8, 5, 9, 4, 11, 2, 7, 5, 4, 5, 7, 4, 4, 7, 11, 2, 3, 1, 11, 5, 2, 4, 7, 3, 6, 6, 3, 5, 10, 2, 1, 4, 6, 2, 5, 1, 4, 7, 6, 2, 1, 3, 2, 3, 9, 5, 3, 3, 4, 10, 4, 7, 9, 8, 11, 8, 8, 11, 8, 9, 1, 6, 2, 11, 5, 1, 6, 1, 3, 1, 3, 6, 3, 7, 5, 1, 4, 3, 1, 10, 3, 7, 8, 10, 3, 8, 2, 8, 7, 6, 9, 1, 11, 6, 3, 5, 7, 7] f(x) = 0.0465842421624737
Best solution in generation 5 is: x = [9, 10, 5, 4, 2, 10, 10, 8, 5, 9, 4, 11, 7, 7, 5, 8, 5, 7, 4, 4, 7, 11, 2, 3, 1, 11, 5, 2, 4, 7, 3, 6, 6, 3, 5, 10, 2, 1, 4, 1, 2, 2, 1, 4, 7, 6, 2, 1, 3, 2, 3, 9, 5, 3, 3, 4, 8, 4, 9, 9, 8, 11, 1, 9, 9, 3, 9, 1, 6, 2, 11, 5, 1, 6, 1, 3, 1, 3, 6, 3, 7, 5, 1, 4, 3, 1, 10, 3, 7, 8, 10, 3, 8, 2, 8, 7, 6, 9, 1, 11, 6, 3, 5, 7, 7] f(x) = 0.046841336685846134
Best solution in generation 6 is: x = [9, 10, 5, 4, 2, 10, 10, 8, 5, 9, 4, 11, 2, 7, 5, 4, 5, 7, 4, 4, 7, 11, 2, 3, 1, 11, 5, 2, 4, 7, 3, 6, 6, 3, 5, 10, 2, 1, 4, 6, 2, 5, 1, 4, 7, 6, 2, 1, 3, 2, 1, 9, 5, 3, 3, 4, 1, 4, 7, 9, 8, 11, 8, 8, 11, 8, 9, 1, 6, 2, 11, 5, 1, 6, 1, 3, 1, 3, 6, 3, 7, 5, 1, 4, 3, 1, 3, 3, 7, 8, 10, 3, 8, 2, 8, 7, 6, 9, 1, 11, 6, 3, 5, 7, 7] f(x) = 0.04952283256462094
Best solution in generation 7 is: x = [9, 10, 5, 4, 2, 10, 10, 8, 5, 9, 4, 11, 2, 7, 5, 4, 5, 7, 4, 4, 7, 11, 2, 3, 1, 11, 5, 2, 4, 7, 3, 6, 6, 3, 5, 10, 2, 1, 4, 6, 2, 5, 1, 4, 7, 6, 2, 1, 3, 2, 1, 9, 5, 3, 3, 4, 1, 4, 7, 9, 8, 11, 8, 8, 11, 8, 9, 1, 6, 2, 11, 5, 1, 6, 1, 3, 1, 3, 6, 3, 7, 5, 1, 4, 3, 1, 3, 3, 7, 8, 10, 3, 8, 2, 8, 7, 6, 9, 1, 11, 6, 3, 5, 7, 7] f(x) = 0.04952283256462094
Best solution in generation 8 is: x = [9, 10, 5, 4, 2, 10, 10, 8, 5, 9, 4, 11, 2, 7, 5, 8, 5, 7, 4, 4, 7, 11, 2, 3, 1, 11, 5, 2, 4, 7, 3, 6, 6, 3, 5, 10, 2, 1, 4, 1, 2, 2, 1, 4, 7, 6, 2, 2, 3, 2, 1, 9, 5, 3, 3, 4, 4, 4, 9, 9, 8, 11, 1, 9, 9, 3, 9, 1, 6, 2, 11, 5, 1, 6, 1, 3, 1, 3, 6, 3, 7, 5, 1, 4, 3, 1, 10, 3, 7, 8, 10, 3, 8, 2, 8, 7, 6, 9, 2, 8, 4, 3, 5, 7, 7] f(x) = 0.05282906813519087
Best solution in generation 9 is: x = [9, 10, 5, 4, 2, 10, 10, 8, 5, 9, 4, 11, 2, 7, 5, 8, 5, 7, 4, 4, 7, 11, 2, 3, 1, 11, 5, 2, 4, 7, 3, 6, 6, 3, 5, 10, 2, 1, 4, 1, 2, 2, 1, 4, 7, 6, 2, 2, 3, 2, 1, 9, 5, 3, 3, 4, 4, 4, 9, 9, 8, 11, 1, 9, 9, 3, 9, 1, 6, 2, 11, 5, 1, 6, 1, 3, 1, 3, 6, 3, 7, 5, 1, 4, 3, 1, 10, 3, 7, 8, 10, 3, 8, 2, 8, 7, 6, 9, 2, 8, 4, 3, 5, 7, 7] f(x) = 0.05282906813519087
Best solution in generation 10 is: x = [9, 10, 5, 4, 2, 10, 10, 8, 5, 9, 4, 11, 2, 7, 5, 8, 5, 7, 4, 4, 7, 11, 2, 3, 1, 11, 5, 2, 4, 7, 3, 6, 6, 3, 5, 10, 2, 1, 4, 1, 2, 2, 1, 4, 7, 6, 2, 2, 3, 2, 1, 9, 5, 3, 3, 4, 4, 4, 9, 9, 8, 11, 1, 9, 9, 3, 9, 1, 6, 2, 11, 5, 1, 6, 1, 3, 1, 3, 6, 3, 7, 5, 1, 4, 3, 1, 10, 3, 7, 1, 10, 3, 8, 2, 8, 7, 6, 9, 2, 8, 4, 3, 5, 7, 7] f(x) = 0.053962854983263434
Best solution in generation 11 is: x = [9, 10, 7, 4, 2, 10, 10, 9, 5, 9, 4, 11, 2, 7, 5, 3, 5, 7, 4, 4, 7, 11, 2, 3, 1, 11, 5, 11, 4, 6, 3, 6, 6, 3, 5, 4, 2, 7, 4, 1, 2, 5, 1, 4, 7, 6, 2, 1, 1, 1, 3, 9, 7, 3, 3, 4, 4, 4, 7, 9, 8, 11, 1, 9, 9, 3, 9, 1, 6, 2, 9, 5, 1, 6, 1, 3, 1, 3, 6, 3, 7, 5, 1, 4, 3, 1, 3, 7, 1, 8, 10, 3, 8, 2, 8, 7, 6, 9, 1, 11, 6, 3, 5, 7, 7] f(x) = 0.05635897594109472
Best solution in generation 12 is: x = [9, 10, 5, 4, 2, 10, 10, 8, 5, 9, 4, 11, 2, 7, 5, 8, 5, 7, 4, 4, 7, 11, 2, 3, 1, 6, 5, 2, 4, 7, 3, 6, 6, 3, 5, 10, 2, 1, 4, 1, 2, 2, 1, 4, 7, 11, 2, 2, 3, 2, 1, 9, 5, 3, 3, 4, 4, 4, 9, 9, 8, 11, 1, 9, 9, 3, 9, 1, 6, 2, 11, 5, 1, 6, 1, 3, 1, 3, 6, 3, 7, 5, 1, 4, 3, 1, 3, 3, 7, 1, 10, 3, 8, 2, 8, 7, 6, 9, 2, 8, 4, 3, 5, 7, 7] f(x) = 0.05800952278114602
