Best solution in generation 0 is: x = [5, 2, 6, 7, 8, 1, 8, 1, 10, 7, 6, 9, 11, 2, 1, 6, 8, 1, 9, 10, 5, 4, 4, 2, 2, 8, 3, 3, 11, 5, 7, 2, 7, 11, 1, 11, 2, 1, 1, 2, 11, 3, 10, 2, 8, 7, 2, 10, 2, 5, 4, 5, 1, 2, 1, 2, 8, 3, 11, 7, 7, 5] f(x) = 0.04286816186068592
Best solution in generation 1 is: x = [5, 2, 6, 7, 1, 1, 8, 1, 10, 7, 6, 9, 11, 2, 8, 8, 4, 1, 9, 10, 5, 4, 4, 2, 9, 4, 3, 3, 10, 5, 7, 2, 7, 11, 1, 11, 2, 1, 1, 2, 11, 3, 10, 2, 8, 7, 2, 10, 2, 5, 4, 5, 1, 2, 1, 2, 8, 3, 11, 7, 7, 5] f(x) = 0.046586369210078755
Best solution in generation 2 is: x = [5, 2, 6, 7, 8, 1, 8, 1, 10, 7, 6, 9, 11, 2, 1, 3, 5, 8, 9, 5, 9, 1, 4, 2, 2, 8, 3, 3, 11, 5, 7, 2, 7, 11, 1, 4, 2, 1, 1, 2, 11, 3, 10, 2, 8, 7, 2, 10, 2, 5, 4, 5, 1, 2, 1, 2, 8, 3, 11, 7, 7, 5] f(x) = 0.05503144654088057
Best solution in generation 3 is: x = [5, 2, 6, 7, 8, 1, 8, 5, 10, 7, 6, 9, 11, 2, 1, 3, 5, 8, 9, 5, 9, 1, 4, 2, 2, 8, 3, 3, 11, 5, 7, 2, 7, 11, 1, 4, 2, 1, 1, 2, 11, 3, 10, 2, 8, 7, 2, 5, 2, 2, 4, 5, 1, 2, 1, 2, 8, 3, 11, 7, 7, 5] f(x) = 0.05936276254894987
Best solution in generation 4 is: x = [10, 2, 6, 7, 8, 1, 8, 1, 10, 7, 6, 9, 11, 2, 1, 6, 11, 3, 7, 5, 9, 1, 4, 2, 2, 8, 3, 3, 11, 5, 3, 3, 7, 11, 1, 4, 2, 1, 1, 2, 11, 3, 10, 2, 8, 7, 2, 10, 2, 5, 4, 5, 1, 2, 1, 2, 2, 3, 11, 7, 7, 5] f(x) = 0.06466318579170136
Best solution in generation 5 is: x = [10, 2, 6, 7, 8, 1, 8, 1, 10, 7, 6, 9, 11, 2, 1, 6, 11, 3, 7, 5, 9, 1, 4, 2, 2, 8, 3, 3, 11, 5, 3, 3, 7, 11, 1, 4, 2, 1, 1, 2, 11, 3, 10, 2, 8, 7, 2, 10, 2, 5, 4, 5, 1, 2, 1, 2, 2, 3, 11, 7, 7, 5] f(x) = 0.06466318579170136
Best solution in generation 6 is: x = [10, 2, 6, 7, 8, 1, 8, 1, 10, 7, 6, 9, 11, 2, 1, 6, 11, 3, 7, 5, 9, 1, 4, 2, 6, 8, 3, 3, 11, 5, 3, 3, 7, 11, 1, 4, 2, 1, 1, 2, 11, 3, 10, 2, 2, 7, 6, 10, 2, 5, 4, 5, 1, 2, 1, 2, 2, 3, 11, 7, 7, 5] f(x) = 0.06561251532771654
Best solution in generation 7 is: x = [10, 2, 6, 7, 8, 1, 8, 1, 10, 7, 6, 9, 11, 2, 1, 6, 11, 3, 7, 5, 9, 1, 4, 2, 6, 8, 3, 3, 11, 5, 3, 3, 7, 11, 1, 4, 2, 1, 1, 2, 11, 3, 10, 2, 2, 7, 6, 10, 2, 5, 4, 5, 1, 2, 1, 2, 2, 3, 11, 7, 7, 5] f(x) = 0.06561251532771654
Best solution in generation 8 is: x = [10, 2, 6, 7, 8, 1, 8, 1, 10, 7, 6, 9, 11, 2, 1, 6, 11, 3, 7, 5, 9, 1, 4, 2, 6, 8, 3, 3, 11, 5, 3, 3, 7, 11, 1, 4, 2, 1, 1, 2, 11, 3, 10, 2, 2, 7, 6, 10, 2, 4, 7, 5, 1, 2, 1, 8, 2, 3, 11, 7, 7, 5] f(x) = 0.06840117083976117
Best solution in generation 9 is: x = [10, 2, 6, 7, 8, 1, 8, 1, 10, 7, 6, 9, 11, 2, 1, 6, 11, 3, 7, 5, 9, 7, 4, 2, 6, 3, 3, 3, 11, 5, 3, 3, 7, 11, 1, 4, 2, 1, 1, 2, 11, 3, 10, 2, 2, 7, 6, 10, 2, 2, 4, 5, 1, 7, 1, 2, 2, 3, 11, 7, 7, 11] f(x) = 0.07623313951188651
Best solution in generation 10 is: x = [10, 2, 6, 7, 8, 1, 8, 1, 10, 7, 6, 9, 11, 2, 1, 6, 11, 3, 7, 5, 9, 7, 4, 2, 6, 3, 3, 3, 11, 5, 3, 3, 7, 11, 1, 4, 2, 1, 1, 2, 11, 3, 10, 11, 2, 7, 6, 10, 2, 2, 4, 5, 1, 3, 1, 2, 2, 3, 11, 7, 7, 11] f(x) = 0.07987223606661141
Best solution in generation 11 is: x = [10, 2, 6, 7, 8, 1, 8, 1, 10, 7, 6, 9, 11, 2, 1, 6, 11, 3, 7, 5, 9, 7, 4, 2, 6, 3, 3, 3, 11, 5, 3, 3, 7, 11, 1, 4, 2, 1, 1, 2, 11, 3, 10, 11, 2, 7, 6, 10, 2, 2, 4, 5, 1, 3, 1, 2, 2, 3, 11, 7, 7, 11] f(x) = 0.07987223606661141
Best solution in generation 12 is: x = [10, 2, 6, 7, 8, 1, 8, 1, 10, 7, 6, 9, 11, 2, 1, 6, 9, 3, 7, 5, 9, 7, 4, 2, 6, 3, 3, 3, 11, 5, 3, 3, 7, 11, 1, 4, 2, 1, 1, 2, 11, 3, 10, 11, 2, 7, 6, 10, 2, 2, 4, 5, 1, 2, 1, 2, 2, 3, 11, 7, 7, 11] f(x) = 0.08016890154661614
